id,name,SCSB,SK_LINEAR,SK_RANDOMFOREST,SK_DECISIONTREE,XGBOOST
16643,0,96.0,90.1,97.61,96.0,96.01
16644,0,68.0,64.17,68.64,72.0,69.33
16645,0,84.0,77.36,85.95,85.0,84.38
16646,Bear River,104.0,94.58,103.78,103.0,105.08
16647,Bear River,115.0,106.29,112.74,115.0,115.0
16648,0,73.0,77.56,74.27,73.0,73.02
16649,Mellersh Creek,91.0,86.99,89.85,91.0,90.15
16650,Paradise River,94.0,94.1,91.66,94.0,93.8
16652,0,73.0,73.57,73.47,73.0,73.02
16671,0,86.0,91.51,88.91,86.0,86.52
16672,0,70.0,68.08,69.06,69.0,70.41
16673,0,89.0,90.32,87.25,81.0,92.73
16674,0,82.0,83.45,81.91,82.0,82.0
16678,0,94.0,88.68,94.21,94.0,93.99
16679,0,91.0,86.99,89.85,91.0,90.15
16680,0,45.0,49.07,46.28,45.0,45.0
