Purpose_Num,Consumptive?,Purpose,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum,PREVIOUS_monthly_coefficients,Description of Water License Purpose,Reference/Note,
WSA02,Consumptive,Camps & Public Facilities,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Camp and public facility – The diversion and use of water for the operation of
(a) a church, community hall, school, hospital or other public institution,
(b) public facilities such as drinking fountains, washrooms or public water parks, or
(c) public exhibition grounds, residential camps for workers or recreational camps1,
but excluding public or commercial campgrounds, except campgrounds that are part of a recreational camp.","Coefficients for 'Camps' and 'Public Facilities (Ecofish, 2015). Water use is likely to be higher in the summer for most users.",
WSA10,Consumptive,Well Drill/Transprt Mgmt,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for water well drilling and for construction and maintenance of a transportation or utility corridors, including for
? dust control, soil compaction;
? bridge washing;
? tunnelling, but not for mining;
? pressure testing or cleaning a pipeline;
? hydroseeding; or
? pesticide or fertilizer application, other than through an irrigation system.","This category contains a wide range of uses and while water use is likely to go up in the summer and may not occur for some of these purposes in the winter, given that the max units are in M3/D, and the wide range of uses, the coefficents are assumed to be consistent.",
02I14,Consumptive,Crops: Frost Protection,M3/Y,0,5,5,2,0,0,0,0,0,0,0,0,12,"[0,0.5,0.5,0,0,0,0,0,0,0,0,0]",The diversion and use of water to protect crops or seedlings from frost.,"Based on conversations with Carolyn Teasdale, Stephanie Tam, Ted van der Gulik.",
02I08,Consumptive,Transport Mgmt: Dust Control,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[0,0,0,0.1,0.2,0.2,0.2,0.2,0.1,0,0,0]","The diversion and use of water for dust control, soil compaction.","While many licenses are for the full year, the majority of use is likely when there is less precipitation, between April and October.",
11A,Non-consumptive,Conservation: Storage,"M3/S, M3/D, M3/Y, TF ",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","""conservation purpose"" means the diversion, retention or use of water for the purpose of conserving fish or wildlife and includes the construction of works for that purpose (Section 2, WSA). Subpurpose: Water is stored for conserving fish or wildlife.","Coefficients for 'Conserv.-Constr.Works' and 'Storage-Non Power' (Ecofish, 2015).",
02I34,Consumptive,Indl Waste Mgmt: Intake Wash,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",The diversion and use of water for the washing and cleaning of water intake screens.,No current licenses. 1 Abandoned license.,
07B,Non-consumptive,Power: Commercial,M3/S,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Power Purpose – ""power purpose"" means the use of water in the production of electricity or other power (Section 2, WSA)
Sub purpose - Power Commercial – Water Fees, Rentals and Charges Tariff Regulation Section 16 – “commercial” means the use, other than residential, of the capacity and energy generated from one or more power developments owned by the licensee, or of the entitlement to capacity and energy derived from water licences held by the licensee,
(a) by the licensee, or if sold by the licensee to immediate family members, employees or tenants of the licensee, by those persons, if the sum of the construction capacity and operating capacity of the licensee’s power development, or if the licensee has more than one power development, the sum of the construction capacity and operating capacity of the licensee’s power developments, does not exceed 499 kW,
(b) for the extraction or processing of natural resources, or the manufacturing of products, in a primary industrial facility in which the licensee has an interest of more than 50%, or
(c) in a facility that is adjacent to and integrated with a primary industrial facility in which the licensee has an interest of more than 50%, but only to the extent that the capacity and energy used in the adjacent and integrated facility is for the production of output consumed in or for the use of the industrial processes of the licensee;","Coefficients for 'Power-Commercial' (Ecofish, 2015).",
07A,Non-consumptive,Power: Residential,M3/S,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","""power purpose"" means the use of water in the production of electricity or other power (Section 2, WSA)
Power Residential – Water Fees, Rentals and Charges Tariff Regulation Section 16 – “residential” means the use of the capacity and energy generated from a power development if
(a) the sum of the construction capacity and operating capacity of the power development does not exceed 50 kW, and
(b) that capacity is used to supply the household requirements of the licensee, including the requirements of any outbuildings, and may also be used in part to participate in the BC Hydro Net Metering Program.","Coefficients for 'Power-Residential' (Ecofish, 2015).",
02I40,Consumptive,Comm. Enterprise: Amusement Park,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",The diversion and use of water for the operation of commercial amusement parks.,"Coefficients for 'Enterprise' (Ecofish, 2015).",
01A01,Consumptive,Incidental - Domestic,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",Not defined.,"Coefficients for 'Domestic' (Ecofish, 2015). Note: water use likely to double in summer due to irrigation use (irrigation typically occurs May-September, with highest use in June-Aug), and be approximately half of that in winter. Could potentially use coefficients of 0.5 in the winter.",
02I20,Non-consumptive,Ice & Snow Making: Ice,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",Ice and snow making – The diversion and use of water for the commercial production of ice or for making snow or ice for a recreation facility or area.,"Water use varies. It is likely greatest in late July, early August (about 25% of yearly water is consumed in this time when the rink is created) and then maintenance use from Sep-Mar for levelling, etc.) (Rob Pakulak, City of Nanaimo). Most arenas remove their ice in March for lacrosse season (March-June) and put their ice back in between June and August because many communities have hockey camps starting in August. (For this reason, water is most likely to be used in late July, early August). ",
02I06,Consumptive,Misc Indl: Dewatering,"M3/S, TF",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Miscellaneous industrial – The diversion of water to dewater a construction site, mine or similar excavation;","Coefficients for 'Industrial' (Ecofish, 2015). ",
02I46,Consumptive,Transport Mgmt: Road Maint.,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Water well drilling and transportation or utility corridor management4 – The diversion and use of water for water well drilling and for construction and maintenance of a transportation or utility corridors, including for 
? dust control, soil compaction;
? bridge washing;
? tunnelling, but not for mining;
? pressure testing or cleaning a pipeline;
? hydroseeding; or
? pesticide or fertilizer application, other than through an irrigation system.","While some water licenses are for the whole year, water use is most likely to happen in the months between Apr-Nov, following precipitation deficits (Barry Watson).",
02I19,Consumptive,Hydraulicking (Inactive),DNE,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",,No current licenses.,
WSA05,Consumptive,Greenhouse & Nursery,M3/Y,0,0.12,0.12,0.24,1.2,1.68,2.88,2.88,2.04,0.72,0.12,0,12,"[0,0.01,0.01,0.02,0.1,0.14,0.24,0.24,0.17,0.06,0.01,0]","Greenhouse and nursery – The diversion and use of water in a facility for the indoor propagation of fruits, vegetables or other plants, or at a facility for the propagation of trees, plants or turf.","Use coeffcients for Nurseries. The largest users in this category are nureries, so the coefficients for nursery use are included, as that is a more conservative approach (nurseries use more than greenhouses in summer).",
02I32,Consumptive,Swimming Pool,"M3/D, TF",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",The diversion and use of water for the operation and maintenance of a public or private swimming pool by a person that does not hold a licence for another industrial water use to which the swimming pool is incidental.,Use likely varies throughout year.,
02I04,Consumptive,Conveying (Inactive),DNE,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",,No current licenses.,
WSA08,Consumptive,Livestock & Animal,M3/Y,0.84,0.84,0.84,0.84,0.84,1.44,1.8,1.2,0.84,0.84,0.84,0.84,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water to provide drinking water and sanitation requirements in the operation or maintenance of a kennel, an animal shelter or boarding facility, a ranch or feedlot operation, or a game farm2, dairy farm, pig farm or poultry farm, or similar enterprise for rearing livestock.",Based on MAFF Livestock Watering Factsheets. Returns are 0 as the water goes to animal/milk/meat.,
WSA08,Consumptive,Livestock & Animal,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,,,"Coefficients for 'Stockwatering [MD]' (Ecofish, 2015). ",
04A,Non-consumptive,Land Improve: General,"M3/S, M3/D, M3/Y, TF ",1,1,1,1,1,1,1,1,1,1,1,1,12,"[0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333]","Water is diverted or impounded to protect land, to facilitate the development
of a recreation facility or of a park or other protected area or the reclamation, drainage or other improvement
of land. Ponds for aesthetic purposes are included in this purpose.","Coefficients for 'Land Improve' (Ecofish, 2015). Generally, the intent is to take water from a stream and place in another location. In some cases, water may be returned to the same stream and it may be non-consumptive. In other cases, it may be consumptive. Identified as consumptive in Rood & Hamilton, 1995.",
03B,Consumptive,Irrigation: Private,M3/Y,0,0,0,0,1.2,3,3.6,3,1.2,0,0,0,12,"[0,0,0,0.1,0.2,0.2,0.2,0.2,0.1,0,0,0]","""Irrigation Purpose"" means the use of water on cultivated land or hay meadows to nourish crops or on pasture to nourish forage; (Section 2, WSA). Water is used for irrigation purpose, other than provided by a local provider.","Coefficients obtained from BC Agriculture Water Calculator and Agriculture Water Demand Model runs for several BC watersheds (Delta, Kelowna, Koksilah). Confirmed with Ted van der Gulik and Stephanie Tam (MAFF).",
02I27,Consumptive,Misc Indl: Sediment Control,"M3/S, M3/Y, TF ",1,1,1,1,1,1,1,1,1,1,1,1,12,"[0,0,0,0.1,0.2,0.2,0.2,0.2,0.1,0,0,0]",The impoundment of water in a settling pond for sediment control,"Coefficients for 'Industrial' (Ecofish, 2015).",
02I13,Consumptive,Crops: Flood Harvesting,M3/Y,0,0,0,0,0,0,0,0,3,6,3,0,12,"[0,0,0,0,0,0,0,0,0.25,0.5,0.25,1]","The diversion and use of water to harvest crops, such as cranberries or wild rice, by flooding.","Based on conversations with Carolyn Teasdale, Stephanie Tam, Ted van der Gulik.",
02I23,Consumptive,O&G: Oil Fld Inject (non-deep GW),M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Water that is not deep groundwater is pumped into the subsurface to assist in the recovery of oil or natural gas. [Note, ‘other than deep groundwater’ includes groundwater that is not ‘deep groundwater’ as well as stream water.]","Varies with market conditions and specific license conditions (e.g. EFN requirements). Use is fully consumptive (Suzan Lapp, BC Oil and Gas Commission).",
02I09,Consumptive,Camps & Pub Facil: Exhibition Grnds,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",The use of water for public exhibition grounds.,"Coefficients for 'Camps' and 'Public Facilities' (Ecofish, 2015).",
08B,Non-consumptive,Aquifer Storage: NP,M3/Y,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",Water from an aquifer is stored so that it can be used for purposes other than power production,"Coefficients for 'Storage-Non Power' (Ecofish, 2015). This would be associated with a diversion purpose.",
WSA12,Consumptive,Vehicle & Equipment,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water to wash trucks, other vehicles or equipment, operate equipment to explore for, take samples or quarry rock, or to cool the brakes on logging trucks or other vehicles.","Coefficients for 'Truckwashing' (Ecofish, 2015). ",
02I42,Consumptive,"Lwn, Fairway & Grdn: Res L/G",M3/Y,0,0,0,0,1.2,3,3.6,3,1.2,0,0,0,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",The diversion and use of water for watering a  the portion of a lawn or ornamental garden that is adjoining and occupied with a dwelling which garden/lawn is larger than 1 000m2.,"Based on variations in use for Irrigation. It is likely that most water use would occur during growing months (May-Sep) but in some areas, may occur in Apr-Oct..",
WSA11,Consumptive,"Lawn, Fairway & Garden",M3/Y,0,0,0,0,1.2,3,3.6,3,1.2,0,0,0,12,"[0,0,0,0.1,0.2,0.2,0.2,0.2,0.1,0,0,0]","The diversion and use of water for watering a golf course, sports field, park or similar property, as well as watering a commercial lawn, an ornamental garden that is not adjoining and occupied with a dwelling and the portion of an ornamental garden that is adjoining and occupied with a dwelling which garden is larger than 1 000m2.","Based on variations in use for Irrigation. It is likely that most water use would occur during growing months (May-Sep) but in some areas, may occur in Apr-Oct..",
WSA09,Consumptive,Processing & Manufacturing,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for the operation of a sawmill, shipyard, factory or other manufacturing facility or for the operation of a wharf, and includes the use of water in a gravel washing plant or the use in an industrial context of water to prevent a fire.","Coefficients for 'Processing' (Ecofish, 2015).",
03A,Consumptive,Irrigation: Local Provider,M3/Y,0,0,0,0,1.2,3,3.6,3,1.2,0,0,0,12,"[0,0,0,0.1,0.2,0.2,0.2,0.2,0.1,0,0,0]",Water is supplied by a local provider for irrigation purpose within the local provider’s service area. See the definition of ‘local provider’ in the Water Sustainability Fees Rentals and Charges Tariff Regulation.,"Coefficients obtained from BC Agriculture Water Calculator and Agriculture Water Demand Model runs for several BC watersheds (Delta, Kelowna, Koksilah). Confirmed with Ted van der Gulik and Stephanie Tam (MAFF).",
02I03,Consumptive,Camps & Pub Facil: Church/Com Hall,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",The diversion and use of water for the operation of a church or community hall,"Coefficients for 'Camps' and 'Public Facilities' (Ecofish, 2015).",
02I05,Consumptive,Crops: Crop Suppression,M3/Y,0,0,0,0,0,0,4.2,6,1.8,0,0,0,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",The diversion and use of water to prevent crops from reaching maturity or to delay maturation of crops.,"Crop suppression is not based on crop water demand so it really depends on how it is applied.  Suppression would likely not happen until near the end of July, August and September so the breakdown would be approximately July 35%, August 50% and September 15% (Ted Van der Gulik, 2021).",
02D,Consumptive,Comm. Enterprise: Enterprise,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water
(a) for the operation of apartment buildings, hotels, motels, restaurants, service stations, mobile home, trailer or manufactured home parks, public campgrounds, including campgrounds in public parks, and commercial campgrounds, other than campgrounds associated with recreational camps, marinas, commercial amusement parks, including water parks, or commercial enterprises, or
(b) in a food and beverage processing plant.","Coefficients for 'Enterprise' (Ecofish, 2015).",
02I18,Consumptive,Heat Exchanger,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",The diversion and use of water in industrial and commercial operations to extract or dissipate heat by passing water through an open loop system.,"Water use likely higher in winter months than summer months. In BC, water use for heating is more common than water use for cooling.",
02B,Consumptive,Processing & Mfg: Processing,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for the operation of a sawmill, shipyard, factory or other manufacturing facility or for the operation of a wharf, and includes the use of water in a gravel washing plant or the use in an industrial context of water to prevent a fire.","Coefficients for 'Processing' (Ecofish, 2015). ",
05E,Consumptive,O & G: Hydrlc Frctrg (non-deep GW),M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Water that is not deep groundwater is injected under high pressure to fracture a subsurface formation to assist in the recovery of oil or natural gas. [Note, ‘other than deep groundwater’ includes groundwater that is not ‘deep groundwater’ and stream water.]","Varies with market conditions and specific license conditions (e.g. EFN requirements). Use is fully consumptive (Suzan Lapp, BC Oil and Gas Commission).",
00C,Consumptive,Waterworks: Sales,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Water is sold to customers by the authorization holder, other than water delivery.","Same as Waterworks: Local Provider. Water use typically doubles in peak summer months due to increased use for irrigation, washing and bathing, tourism, etc.",
00C,Consumptive,Waterworks: Sales,M3/Y,0.8,0.8,0.8,0.8,1,1.2,1.6,1.6,1,0.8,0.8,0.8,12,,same as waterworks local provider,"Same as Waterworks: Local Provider. Water use typically doubles in peak summer months due to increased use for irrigation, washing and bathing, tourism, etc.",
02I22,Consumptive,Grnhouse & Nursery: Nursery,M3/Y,0,0.12,0.12,0.24,1.2,1.68,2.88,2.88,2.04,0.72,0.12,0,12,"[0,0.01,0.01,0.02,0.1,0.14,0.24,0.24,0.17,0.06,0.01,0]","The diversion and use of water in a facility for the indoor propagation of trees, plants or turf.","Based on actual use data from a 25-acre nursery in the Fraser Valley, provided by Dave Woodske, P.Ag. | Industry Specialist, Ornamentals and Greenhouse Vegetables, Ministry of Agriculture",
STU,Consumptive,Equipment (02139),,1,1,1,1,1,1,1,1,1,1,1,1,12.00,,,Assume same as 'Industrial',
STU,Consumptive,Industrial: Fire Suppression,,1,1,1,1,1,1,1,1,1,1,1,1,12.00,,,Assume same as 'Industrial',
STU,Consumptive,Industrial: Pressure Testing,,1,1,1,1,1,1,1,1,1,1,1,1,12.00,,,Assume same as 'Industrial',
STU,Consumptive,Industrial: Road Maintenance,,1,1,1,1,1,1,1,1,1,1,1,1,12.00,,,Assume same as 'Industrial',
STU,Consumptive,Industrial: Work Camp,,1,1,1,1,1,1,1,1,1,1,1,1,12.00,,,Assume same as 'Work Camps',
STU,Consumptive,Oil & Gas Purpose: Hydraulic Fracturing,,1,1,1,1,1,1,1,1,1,1,1,1,12.00,,,Assume same as 'Industrial',
STU,Consumptive,Oil & Gas Purpose: Oil Field Injection,,1,1,1,1,1,1,1,1,1,1,1,1,12.00,,,Assume same as 'Industrial',
STU,Consumptive,Oil & Gas Purpose: Other,,1,1,1,1,1,1,1,1,1,1,1,1,12.00,,,Assume same as 'Industrial',
STU,Consumptive,Oil & Gas Purpose: Well Drilling,,1,1,1,1,1,1,1,1,1,1,1,1,12.00,,,Assume same as 'Industrial',
STU,Consumptive,Other Water Purpose,,1,1,1,1,1,1,1,1,1,1,1,1,12.00,,,Assume same as 'Industrial',
STU,Non-consumptive,Storage - Non Power,,1,1,1,1,1,1,1,1,1,1,1,1,12.00,,,Assume same as 'Storage',
STU,Non-consumptive,Storage Purpose,,1,1,1,1,1,1,1,1,1,1,1,1,12.00,,,Assume same as 'Storage',
STU,Consumptive,Unspecified,,1,1,1,1,1,1,1,1,1,1,1,1,12.00,,,Assume same as 'Industrial',
STU,Consumptive,Monthly coefficients for dugouts,,0.24,0.12,0.24,0.72,2.4,2.88,2.04,1.08,0.84,0.72,0.36,0.36,12.00,,,From RSEA project,
